country,latitude,longitude,region,continent,ev_stock,ev_sales,battery_demand_mwh_est,total_battery_factories,total_battery_capacity_gwh,dc_fast_chargers,ac_chargers,avg_power_kw,net_lithium_import_t,net_cobalt_import_t,net_nickel_import_t,net_graphite_import_t,fuel_consumption_rate,eta_variation_hours,traffic_congestion_level,warehouse_inventory_level,loading_unloading_time,lithium_production_t,cobalt_production_t,nickel_production_t,graphite_production_t,domestic_mineral_capacity,mineral_self_sufficiency_pct,import_dependency_pct,supply_risk_score,geopolitical_risk_score,supplier_diversity_index,disruption_probability,risk_category,factory_utilization_pct,battery_export_gwh,battery_import_gwh,production_cost_usd_per_kwh,average_factory_age_years,annual_battery_output_gwh,charger_density_per_1000_ev,public_charging_ratio,charging_readiness_score,charger_growth_rate_pct,transport_mode,average_shipping_distance_km,logistics_cost_usd_per_ton,on_time_delivery_rate_pct,carbon_emission_tco2,route_efficiency_score,warehouse_capacity_t,inventory_turnover_ratio,stockout_probability,date,year,quarter,month,month_name,week,day,fiscal_year,ev_market_growth_pct,battery_demand_growth_pct,manufacturing_dependency_score,infrastructure_score,logistics_risk_score,inventory_risk_score,overall_supply_chain_score
South Africa,-30.56,22.94,Southern Africa,Africa,69596,11236,705.78,2,6.25,705,3489,50,-1891.93,-5122.73,-2051.21,-16606.96,39.31,1.13,20,1618,2.45,95493,792,124086,155444,375815,37.45,63.8,38.6,11.4,0.59,0.02,Medium,63.08,93.03,33.33,96.28,22.2,227.04,58.8,80.81,78.6,11.94,Sea,4596.5,183.39,89.06,374.12,68.18,103891.76,4.49,0.01,28-08-2025,2025,Q3,8,August,35,28,2025,11.87,39.72,83.27,94.61,19.92,49.23,71.82
Indonesia,-0.79,113.92,Southeast Asia,Asia,135353,35420,3191.58,5,68.76,2007,12489,72.5,-77282.43,-41880.64,-8063.58,-65029.71,24.62,2.18,40.3,7174.13,3.13,141496,73544,64125,14270,293435,73.4,28.54,64.9,93.4,0.26,0.45,High,81.68,166.98,160.36,137.27,25.9,564.3,71.16,56.02,88.7,34.62,Air,4449.8,176.36,90.46,502.57,65.93,42991.73,17.62,0.36,08-07-2025,2025,Q3,7,July,28,8,2025,3.84,11.8,83.52,86.03,18.37,87.35,67.19
Indonesia,-0.79,113.92,Southeast Asia,Asia,134062,38960,1559.89,6,65.59,2577,13243,65,-28135.37,-11711.18,-54383.91,-68153.23,31.11,0.6,23.3,10390.62,2.46,14636,37288,78684,60535,191143,56.93,40.09,53,73.6,0.56,0.18,High,72.64,317.06,142.53,89.35,26.3,768.97,30.47,48.11,39,8.06,Rail,2448.7,258.42,86.28,271.74,64.3,14294.68,17.93,0.09,21-06-2024,2024,Q2,6,June,25,21,2024,36.2,19.62,59.03,96.33,52.93,35.04,70.07
South Korea,36.5,127.75,Eastern Asia,Asia,899088,141038,6450.66,21,262.59,11990,61422,97.3,118450.43,40936.7,49165.17,183073.33,33,0.52,78.2,33824.38,5.66,136485,89762,126421,193456,546124,30.33,67.94,47.7,59,0.89,0.03,Medium,71.56,259.11,266.24,130.13,4.5,745.12,7.76,40.46,24.4,5.7,Rail,1336.6,165,98.18,133.82,70.99,68401.59,10.89,0.38,14-07-2024,2024,Q3,7,July,28,14,2024,24.66,4.04,50.98,93.14,93.8,22.9,72
France,46.23,2.21,Western Europe,Europe,1678056,234925,12250.4,13,136.72,13688,87750,86.6,105807.39,52295.79,15797.31,80535.87,43.7,1.68,36.5,63089.96,3.31,92140,33190,27995,125931,279256,36.03,64.22,68.3,82,0.43,0.23,High,68.67,12.29,61.97,70.18,22.2,371.31,15,50.32,25.8,20.98,Road,4535.5,154.78,87.67,302.45,65.88,3703.42,2.58,0.19,02-07-2025,2025,Q3,7,July,27,2,2025,18.02,26.68,77.48,96.61,54.3,20.69,65.72
Canada,56.13,-106.35,North America,North America,429589,73491,3549.89,7,48.1,6184,24128,67.6,-1148.74,-7817.57,-8505.46,-16932.99,33.99,0.18,19.6,7299.84,4.23,100005,47597,98195,170309,416106,76.51,24.79,46.6,64.7,0.49,0.15,Medium,56.28,29.47,15.18,82.79,9.3,265.31,67.36,44.21,79.4,2.33,Air,3049.6,288.1,74.17,224.83,80.04,4864.31,14.23,0.15,31-07-2025,2025,Q3,7,July,31,31,2025,16.39,30.7,31.31,70.08,82.86,20.99,64.95
Germany,51.17,10.45,Western Europe,Europe,2361402,417120,24660.54,25,172.01,23280,133691,95.8,13223.84,30162.53,87456.04,19209.51,25.63,5.25,81.9,81172.92,5.3,67229,44884,97310,103228,312651,16.88,82.66,71.5,59.8,0.28,0.21,High,74.56,9.8,276.29,99.31,25.5,223.58,53.59,53.09,72.7,24.08,Air,3606.2,48.68,84.68,360.8,93.86,78319.98,5.92,0.28,03-02-2024,2024,Q1,2,February,5,3,2023,40.43,15.83,89.17,94.85,46.65,27.82,72.94
South Korea,36.5,127.75,Eastern Asia,Asia,902417,172446,14058.46,24,222.84,13378,54580,90.7,192328.25,118434.93,133684.81,230804.14,30.91,4.08,73.8,109496.85,4.79,203512,24652,51975,114853,394992,72.97,29.24,29.7,33.2,0.74,0.06,Medium,57.86,225.95,231.35,56.29,27.9,540.12,34.58,35.99,40,27.74,Sea,4493.5,269.01,81.51,340.48,46.36,71006.8,7.9,0.2,05-11-2025,2025,Q4,11,November,45,5,2025,13.97,14.56,55.39,62.69,57.03,14.59,59.3
Japan,36.2,138.25,Eastern Asia,Asia,1732624,211012,20675.49,20,170.94,18391,105587,84.2,75004.57,2398.77,19112.14,91617.46,41.06,2.92,52.2,137518.52,4.56,127356,52056,178395,194430,552237,45.58,57.41,35.4,27.5,0.81,0.05,Medium,90.74,349.42,187.59,82.54,3.2,710.83,84.39,80.37,91,29.54,Sea,2892.4,153.6,99.4,128.28,54.61,116217.09,15.02,0.38,19-09-2025,2025,Q3,9,September,38,19,2025,33.14,5.05,43.73,81.81,38.42,40.64,72.94
China,35.86,104.19,Eastern Asia,Asia,10483814,1133224,88614.95,86,770.61,192281,1422771,93.4,411638.4,463535.74,43301.74,93596.26,22.63,1.1,17.5,239721.14,2.18,238013,15731,144434,62817,460995,40.25,62.38,52.1,20.5,0.23,0.12,High,56.94,254.69,35.91,97.47,3.3,520.56,59.73,55.17,68.5,11.06,Air,2683.4,273.1,98.09,321.05,76.76,9990.43,11.36,0.39,04-10-2024,2024,Q4,10,October,40,4,2024,24.5,17.17,40.2,75.11,77.76,32.65,64.18
India,20.59,78.96,Southern Asia,Asia,371259,159886,10383.35,8,42.38,9055,54198,50.6,19016.47,27426.91,9126.07,7071.99,27.96,1.71,24.5,25425.29,3.45,233167,62271,41014,54277,390729,88.8,9.45,35.1,35,0.35,0.15,Medium,69.77,320.52,222.26,102.68,8.5,351.09,53.11,31.2,62.2,9.41,Rail,2551.3,45.32,72.99,179.48,81.92,10160.53,5.65,0.38,10-11-2025,2025,Q4,11,November,46,10,2025,9.32,12.27,44.11,78.4,73.23,12.48,73.75
United Kingdom,55.38,-3.44,Northern Europe,Europe,1438648,232400,13516.74,11,100.56,16430,81066,76.4,109617.26,49728.39,39821.6,51373.85,37.88,2.92,54,49036.59,4.21,183646,59380,91018,187762,521806,65.18,35.99,43,37.1,0.42,0.11,Medium,57.69,66.9,82.44,115.76,21.3,336.37,53.09,43.7,61.1,14.62,Rail,2727.9,34.94,79.39,302.48,60.82,82550.49,6.54,0.3,25-06-2024,2024,Q2,6,June,26,25,2024,31.14,37.51,73.15,88.4,60.66,19.88,65.98
Norway,60.47,8.47,Northern Europe,Europe,907185,122490,5423.11,0,16.65,6752,25647,72.8,7795.02,11788.86,2477.12,3200.22,29.01,1.69,30.9,9557.53,2.67,190876,72544,174197,147357,584974,45.86,55.59,48.9,42.1,0.51,0.17,Medium,66.18,325.77,254.46,137.81,11.7,690.12,11.4,64.37,29.8,14.89,Sea,4424.5,64.74,70.3,285.98,66.88,95858.36,12.78,0.15,10-11-2024,2024,Q4,11,November,45,10,2024,36.71,32.46,38.11,65.89,39.11,40.24,62.51
South Africa,-30.56,22.94,Southern Africa,Africa,79897,10306,1014.53,2,6.68,770,3500,47.8,-2111.31,-13808.53,-10052.92,-11089.77,39.52,4.69,62.1,5896.08,5.7,218537,21014,49026,128764,417341,84.14,14.22,21.6,43.2,0.95,0.01,Low,59.49,284.43,271.97,56.54,26.6,613.57,5.78,81.06,21.1,17.48,Rail,722.3,128.53,97.65,51.4,91.63,64621.23,10.75,0.2,08-12-2025,2025,Q4,12,December,50,8,2025,5.12,14.21,83.22,79.29,20.62,79.39,77.2
South Africa,-30.56,22.94,Southern Africa,Africa,67022,11508,670.54,1,5.36,672,3262,57.3,-17914.51,-5503.34,-1419.54,-10603.11,35.92,6.53,85.6,911.6,6.83,115351,87231,156152,61796,420530,37.06,65.65,37.6,16.8,0.71,0.02,Medium,61.43,49.59,15.05,107.18,25.5,324.65,5.37,68.32,20,16.94,Rail,486.3,316.23,89.21,37.36,78.42,71090.22,9.09,0.05,05-10-2024,2024,Q4,10,October,40,5,2024,35.23,32.85,28.91,88.16,20.74,79.61,72.6
Australia,-25.27,133.77,Oceania,Oceania,261733,43631,2031.93,6,43.07,3801,22929,63.9,-44021.75,-1667.21,-26288.43,-1827.16,18.84,1.75,78.2,6488.56,4.64,136196,2066,159150,189631,487043,71.41,27.4,61.1,84.7,0.27,0.59,High,81.24,72.46,191.53,124.43,14.3,543.58,79.51,27.76,89.7,6.28,Sea,1806.5,273.04,94.57,181.13,46.28,89045.59,13.11,0.42,19-05-2025,2025,Q2,5,May,21,19,2025,22.93,12.85,66.59,68.38,18.66,11.03,58.7
France,46.23,2.21,Western Europe,Europe,1642406,210623,14303.89,13,106.55,17052,95116,85,126808.02,66669.06,97285.14,29121.37,43.31,0.77,33.1,97149.11,3.7,139057,52228,138077,12914,342276,42.62,58.02,42.5,23.1,0.53,0.04,Medium,68.34,312.98,108.08,56.43,27.4,760.44,82.46,50.2,89.3,30.1,Rail,754.2,230.48,84.81,56.33,86.35,2140.43,4.54,0.02,23-10-2024,2024,Q4,10,October,43,23,2024,31.93,21.62,56.74,44.76,20.57,7.01,64.24
United States,39.83,-98.58,North America,North America,5583084,747131,73940.08,41,307.76,46350,187247,115.2,181649.29,82134.81,266421.37,219541.14,21.37,1.45,83.2,553942.61,5.57,101501,402,96059,159308,357270,30.8,70.25,53.9,66.6,0.8,0.13,High,59.9,181.14,34.94,122.81,1.9,497.42,60.27,78.65,66.9,4.05,Air,3514.5,184.65,91.82,151.11,76.99,52618.29,17.42,0.06,29-04-2024,2024,Q2,4,April,18,29,2024,37.54,16.74,26.95,96.96,71.25,68.55,69.99
France,46.23,2.21,Western Europe,Europe,1623302,263078,11139.64,17,116.13,14687,83393,82.9,12609.34,56436.54,104921.79,29843.56,37.55,1.2,72.5,33355.92,4.3,165055,13754,71793,40695,291297,64.19,38.04,37.3,54.8,0.84,0.06,Medium,65.14,127.87,210.4,77.35,8.2,603.82,74.79,58.36,83.9,18.79,Air,1150.8,287.08,80.7,27.26,96.8,15655.82,9.7,0.23,23-08-2024,2024,Q3,8,August,34,23,2024,12.03,34.58,26.41,89.15,38.17,20.13,78.45
Chile,-35.68,-71.54,South America,South America,92184,20791,2038.44,2,11.1,956,5508,54.8,-21025.71,-2738.14,-7646.92,-2705.49,38.59,1.74,67.6,6945.43,5.01,135851,40629,108940,219655,505075,38.14,63.77,47.8,30.9,0.51,0.07,Medium,93.73,347.48,62.41,96.98,25.2,702.51,39.46,59.54,56.7,24.36,Air,1660.2,234.23,84.29,86.5,61.42,29074.52,2.61,0.1,23-05-2024,2024,Q2,5,May,21,23,2024,37.81,30.32,27.33,67.19,73.08,49.03,68.64
Norway,60.47,8.47,Northern Europe,Europe,907492,123266,11961.07,2,15,8109,29202,80.6,2371.34,2116.2,16446.53,8561.17,24.48,1.7,33.3,73533.51,3.8,144590,12741,162977,8465,328773,10.64,91.17,58.3,69.3,0.93,0.05,High,69.42,183.83,268.75,65.7,1.7,663.29,37.67,49.88,46.3,11.33,Sea,4911.4,125.68,70.22,285.85,84.52,43964.56,13.31,0.34,26-08-2024,2024,Q3,8,August,35,26,2024,8.99,8.34,75.03,75.48,86.43,52.92,67.78
France,46.23,2.21,Western Europe,Europe,1486312,254288,16519.04,14,118.43,15150,70147,81.8,100117.86,54305.04,104297.36,88681.02,29.59,4.06,51.2,109758.02,3.7,186624,41850,65156,44694,338324,51.41,46.65,44.4,33.9,0.46,0.12,Medium,83.04,127.88,41.79,63.17,1.6,245.91,70.56,55.7,80.4,8.59,Air,3452.7,43.2,96.95,153.23,56.31,12086.59,3.59,0.17,27-07-2024,2024,Q3,7,July,30,27,2024,36.45,24.11,53.11,83.45,81.31,12.45,69.6
India,20.59,78.96,Southern Asia,Asia,382689,139326,8694.52,8,51.4,8525,62028,53.6,13617.05,29951.87,40705.68,43324.11,42.69,1.01,72.9,10604.38,5.09,237934,7993,138771,109432,494130,37.87,63.18,56.8,63,0.58,0.24,High,67.65,145.51,88.25,112.37,23.1,180.47,42.69,56.71,60.8,30.2,Sea,1456.8,198.58,92.63,85.81,73.42,48463.44,4.98,0.06,30-05-2025,2025,Q2,5,May,22,30,2025,15.72,6.77,59.63,94.67,89.02,85.55,69.74
Norway,60.47,8.47,Northern Europe,Europe,867992,133268,13304.37,3,16.15,7386,25283,77.4,3563.97,11841.64,799.75,11211.61,34.77,2.26,69.2,77969.91,4.98,82776,50657,87161,48713,269307,84.36,14.87,20.1,31.3,0.87,0.03,Low,83.93,211,90.21,97.35,27.1,439.23,14.41,26.88,33,3.57,Sea,4195.9,58.03,90,403.32,52.28,98502.55,14.39,0.01,12-12-2024,2024,Q4,12,December,50,12,2024,20.84,31.35,73.01,91.85,23.27,48.54,76.99
Canada,56.13,-106.35,North America,North America,401511,67947,5444.53,7,57.14,6185,26763,69.2,-47508.46,-23848.1,-48139.72,-13659.63,29.2,1.08,22.9,25386.28,2.81,123772,52745,56076,90593,323186,28.23,71.97,76.9,91.2,0.34,0.26,Critical,84.18,52.76,113.51,136.73,10.1,460.18,56.05,64.74,63.8,19.68,Road,2836.4,316.05,76.1,125.32,48.22,43056.89,12.29,0.14,11-05-2025,2025,Q2,5,May,19,11,2025,32.19,30.34,90.55,64.41,18.67,38.49,54.98
Indonesia,-0.79,113.92,Southeast Asia,Asia,141292,38925,2187.8,6,64.83,2169,10042,71.1,-40549.7,-19643.52,-30259.45,-47754.62,24.85,2.48,41.6,15397.77,3.6,212547,21089,171229,181338,586203,78.01,24.32,19.5,25.5,0.93,0.02,Low,66.29,8.36,108.91,116.7,14.8,245.99,77.44,43.16,86.3,18.02,Road,2750.7,304.75,94.58,224.3,58.72,82762.74,5.63,0.06,29-04-2025,2025,Q2,4,April,18,29,2025,13.46,27.53,47.27,58.77,32.95,77.54,66.07
India,20.59,78.96,Southern Asia,Asia,400720,150675,10987.82,8,50.22,8642,68743,49.3,25108.89,10321.35,44188.93,15256.2,40.95,0.43,34.2,75438.16,4.56,203219,16818,149626,161167,530830,61.5,37.82,51.7,94.5,0.82,0.07,High,66.39,271.98,59.94,108.58,25.1,482.29,65.03,52.93,76.5,5.59,Sea,2627.3,117.38,78.06,306.89,81.57,45421.57,9.6,0.03,23-12-2025,2025,Q4,12,December,52,23,2025,43.98,5.92,52.45,88.8,25.93,78.51,71.27
Norway,60.47,8.47,Northern Europe,Europe,960012,133424,9494.74,2,13.55,6598,26090,75.2,15230.48,5646.53,10814.36,7603.66,30.82,3.33,72.5,57274.4,4.68,139784,41454,148929,40332,370499,49.44,51.41,27.8,27.2,0.99,0,Medium,77.8,223.54,201.22,84.73,2.2,386.06,54.38,44.6,73.6,21.94,Sea,208.9,259.32,86.65,22.54,72.97,6969.11,15.31,0.04,13-08-2024,2024,Q3,8,August,33,13,2024,28.67,11.33,73.82,60.39,19.82,54.28,70.84
United Kingdom,55.38,-3.44,Northern Europe,Europe,1611290,217667,11733.81,11,111.59,16755,78877,84.9,16719.79,49419.09,58194.88,38699,18.63,0.63,33.4,28931.97,3.2,243816,53442,76117,141528,514903,18.16,83.84,47.2,23.7,0.68,0.05,Medium,74.6,121,77.21,112.67,19.3,454.59,15.17,80.15,25.7,16.49,Road,3171.8,69.9,70.04,371.87,83.82,64888.47,12.68,0.12,07-02-2024,2024,Q1,2,February,6,7,2023,25.7,10.04,34.9,70.45,18.11,51.56,70.42
India,20.59,78.96,Southern Asia,Asia,384353,148224,13118.01,9,46.5,8459,73278,55.1,15829.38,20901.05,38123.44,35190.97,30.75,2.69,37.3,31886.89,3.17,38522,55754,161722,131769,387767,79.14,19.33,56.6,91.8,0.41,0.4,High,85.53,108.46,124.73,89.74,6,266.16,24.35,58.14,35.8,13.65,Air,3045,96.64,71.02,292.25,91.26,8833.83,7.16,0.17,15-09-2024,2024,Q3,9,September,37,15,2024,26.69,8.42,65.25,63.93,64.54,9.34,71.03
South Korea,36.5,127.75,Eastern Asia,Asia,881670,167055,15357.79,18,209.7,14438,57879,97.9,12584.06,26840.65,96722.12,174277.34,37.33,4.67,73,23174.57,5.76,123345,28320,133403,31483,316551,40.95,61.09,57,70.8,0.64,0.16,High,80.78,232.56,5.99,92.39,26.3,302.62,5.33,47.69,19.6,30.35,Rail,357.6,202.8,74.2,8.02,92.85,34925.6,9.69,0.28,29-08-2025,2025,Q3,8,August,35,29,2025,21.64,10.61,57.32,58.47,32.96,54.86,68.78
Japan,36.2,138.25,Eastern Asia,Asia,1543280,246447,13572.5,16,131.66,18799,97350,90.7,117256.24,75887.73,37779.55,45139.43,29.64,0.67,34.1,65615.66,4.16,59008,45234,101094,80618,285954,44.22,53.49,39.1,30.8,0.68,0.09,Medium,63.7,321.6,282.45,92.63,2.6,450.22,59.29,51.88,74.6,26.48,Road,205.4,234.83,81.98,8.56,64.82,87510.78,11.19,0.2,05-10-2025,2025,Q4,10,October,40,5,2025,12.65,27.61,65.13,51.57,19.7,37.2,60.25
Brazil,-14.24,-51.93,South America,South America,188631,40812,2056.95,2,17.1,2324,18491,52.2,1501.24,10800.57,7606.57,12567.11,22.13,0.49,44.6,13604.94,3.28,197564,44623,136179,61086,439452,84.21,13.51,41.1,91.9,0.86,0.09,Medium,57.03,69.43,41.29,61.91,26.8,434.35,8.55,65.46,15.6,11.68,Rail,1435.5,60.58,89.34,33.72,60.57,21681.92,14.15,0.13,21-10-2024,2024,Q4,10,October,43,21,2024,13.6,13.99,71.18,44.25,16.65,28.14,55.19
Indonesia,-0.79,113.92,Southeast Asia,Asia,139028,32625,1960.99,7,60.38,2138,12652,68.8,-11464.73,-11091.63,-40938.44,-45324.47,43.78,1.91,27.5,5537.61,4.41,16919,8237,76321,219166,320643,13.36,84.59,63.7,63.2,0.6,0.13,High,77.91,331.79,133.43,71.21,1.7,739.78,87.43,49.32,100,9.62,Sea,1128.6,231.04,96.51,108.79,95.66,7910.38,8.87,0.17,20-03-2024,2024,Q1,3,March,12,20,2023,41.14,38.35,79.14,94.83,62.39,82.43,76.17
Germany,51.17,10.45,Western Europe,Europe,2222965,444087,35049.3,26,193.56,30481,121103,87.7,159811.24,76086.26,93364.17,59953.55,37.5,5.31,83.3,258099.53,5.22,207113,74164,96189,4284,381750,16.25,83.38,62.1,62.2,0.63,0.2,High,91.51,247.73,250.86,135.27,2.9,550.75,54.28,75.07,72.6,30.61,Sea,1696.3,274.26,79.83,67.14,46.03,78764.24,4.73,0.03,20-11-2025,2025,Q4,11,November,47,20,2025,10.7,19.74,66.77,73.99,78.24,16.37,62.36
South Korea,36.5,127.75,Eastern Asia,Asia,988515,165096,8683.25,19,206.95,12660,63578,91.9,60066.49,142788.79,87388.82,30977.86,35.83,1.24,51.4,13597.65,3.42,206043,24568,30359,180878,441848,71.5,30.63,24.7,16.7,0.73,0.04,Low,84.95,134.92,137.51,85.43,18.4,286.76,63.73,81.18,82.4,16.09,Rail,3447.3,210.39,82.98,293.94,54.9,112987.59,14.4,0.18,27-05-2024,2024,Q2,5,May,22,27,2024,11.72,20.41,85.15,80.97,52.35,62.74,74.03
Brazil,-14.24,-51.93,South America,South America,181541,40098,2841.27,2,18.17,2811,17602,58.8,10581.82,10038.49,17145.4,14510.59,30.36,1.27,30.4,22572.73,2.91,123648,17083,125429,167310,433470,33.54,64.46,42.1,43.9,0.86,0.04,Medium,84.16,44.36,198.18,109.23,7.3,376.72,64.51,78.3,76.3,3.47,Sea,3973.4,236,82.14,384.73,77.16,48944.79,14.85,0.35,15-12-2024,2024,Q4,12,December,50,15,2024,14.24,19.99,27.81,86.2,22.02,63.89,76.35
Germany,51.17,10.45,Western Europe,Europe,2394710,408306,20352.4,19,163.48,24736,146118,95.5,84560.73,66381.29,32800.72,94812.27,32.65,3.57,81.1,93602.68,5.41,240734,7958,81707,125335,455734,68.54,30.43,25,34.2,0.92,0.01,Medium,92.39,175.82,244.84,115.49,6.5,653.36,54.4,37.42,65.7,2.25,Air,1829.1,59.46,99.32,177.24,49.9,78618.25,3.24,0.21,02-08-2025,2025,Q3,8,August,31,2,2025,29.41,36.16,33.58,87.04,77.63,32.23,76.08
